document,binary,passive_match(es),raw_passive_count,raw_passive_sents_count,raw_sentence_count,passive_sents_percentage,ID,human_coding
he hates politics,0,[],0,0,1,0.0,AE5138F868GYB,0
Politics can sometimes help person reason.,0,[],0,0,1,0.0,AY2L2CZ6OKNEA,0
The disease was released by the President.,1,['was released'],1,1,1,1.0,A2S7LNJG767XIU,1
Donald Trump frequently engages in politics with other political figures.,0,[],0,0,1,0.0,A370S3V5OUNP4E,0
He is going to run in the next election.,0,[],0,0,1,0.0,A2ZKKOPPN3AX2G,0
The politics of it are confusing.,0,[],0,0,1,0.0,AH7I3K3OJKA5L,0
Republicans and Democrats are opposed to one another.,0,[],0,0,1,0.0,A5BCSSPC180AG,0
Politics in the country suck ,0,[],0,0,1,0.0,A1TO9C7AZND1VO,0
That what became of the voters.,0,[],0,0,1,0.0,AE0C5U5HZ7WR9,0
I am moderate when it comes to politics.,0,[],0,0,1,0.0,A1D4RC6K6Y5KAV,0
I identify as Republican.,0,[],0,0,1,0.0,A345TDMHP3DQ3G,0
The position was removed from office,1,['was removed'],1,1,1,1.0,A1U5UPSCURNRAA,1
Politics is very relevant topic in the world today.,0,[],0,0,1,0.0,A18UTX5FD7NPRV,0
Voters were discouraged to gather at the polls.,1,['were discouraged'],1,1,1,1.0,A3T79IEUFBB473,1
The brothers argued over who they would vote for in the election.,0,[],0,0,1,0.0,A3HKD5JYXYBK5Q,0
I am over the politics.,0,[],0,0,1,0.0,A3MSMV01T3S53S,0
The election was very unfair.,0,[],0,0,1,0.0,A2JAE9P7FQXU2T,0
Politics makes me so upset ,0,[],0,0,1,0.0,A23K77HMD9APAJ,0
I avoid speaking about Politics while at work. ,0,[],0,0,1,0.0,A322UHGPRL2UWO,0
My political views were not recognized.,1,['were not recognized'],1,1,1,1.0,A1EDKVYT9ZCGUH,1
I will run for political office one day.,0,[],0,0,1,0.0,A3CX8S6Q0QEW8E,0
My mom was already aware of the current politics.,0,[],0,0,1,0.0,AYX9OCFWBM939,0
They battled about immigration in the debate last night.,0,[],0,0,1,0.0,A1HNB2243A2PQH,0
Her use of politics had been tricky to understanding in the meeting.,0,[],0,0,1,0.0,A1Y38T7IZWJQAE,0
The sports being gambled on were very fast paced.,1,['being gambled'],1,1,1,1.0,A3ATU3VULAB7K2,1
Sports is an entertaining activity.,0,[],0,0,1,0.0,A1CTJ8UT7SF317,0
I do not enjoy sports.,0,[],0,0,1,0.0,A327Q0Y175MEH7,0
The basketball team was driven home in bus.,1,['was driven'],1,1,1,1.0,A19TD2J8506A4Y,1
I play basketball on the weekends.,0,[],0,0,1,0.0,A2DDXYTEVDV5F5,0
I wish the Lakers would win.,0,[],0,0,1,0.0,AJ9O2ZA0E8UDZ,0
Our pitcher throws 150km h.,0,[],0,0,1,0.0,AYXXMHLZRAPF9,0
I feel that sports are gateway to high fitness.,0,[],0,0,1,0.0,A3M0L33TPD346S,0
Sports were enjoyed by the fans.,1,['were enjoyed'],1,1,1,1.0,A33GB614ST7J82,1
The football player scored touchdown.,0,[],0,0,1,0.0, COPIEDAKHKMEPXX1YZ9,0
The quarterback caught the ball.,0,[],0,0,1,0.0,A23273YME4RCEB,0
Sports was the activity she enjoyed the most.,0,[],0,0,1,0.0,A3O4WYGKH31OX,0
Football is the sport I played in high school.,0,[],0,0,1,0.0,A3NLSGHK6RFXA8,0
Bob watched sports all day on TV.,0,[],0,0,1,0.0,AOJF7CPZVK5U3,0
Soccer was played by millions last year.,1,['was played'],1,1,1,1.0,A154ZJKRSX6847,1
Sports are watched for entertainment purposes by the masses.,1,['are watched'],1,1,1,1.0,A3FXVNZ5VG98IP,1
My niece participates in various sports in school.,0,[],0,0,1,0.0,AYXN53TNFG71P,0
The ball was hit out of bounds.,1,['was hit'],1,1,1,1.0,AMUKX1DM4ASA7,1
The soccer game is alot of fun.,0,[],0,0,1,0.0,AFE7E450NETF2,0
SPORTS DRIVE EVERYONE CRAZY. ,0,[],0,0,1,0.0,A2DLZ9PK82J8L2,0
Sports seem boring to me. ,0,[],0,0,1,0.0,ARON01UO1YK7I,0
Gymnastics is one of the sports I like watching. ,0,[],0,0,1,0.0,A3RNGN5WLE1OBU,1
The player had hit the ball so far.,0,[],0,0,1,0.0,A1ZZETG57T5D5X,0
Sports are entertaining to watch,0,[],0,0,1,0.0,A2Z75NJBZ46RE9,0
All sports were halted during the pandemic.,1,['were halted'],1,1,1,1.0,A1CI5U3BLQ2DDS,1
 The government canceled all sports during the pandemic. ,0,[],0,0,1,0.0,A1CI5U3BLQ2DDS ,0
I love hitting the baseball. ,0,[],0,0,1,0.0,ATSNZCC16HIOI,0
I like watching sports on television ,0,[],0,0,1,0.0,A1SWGSFIMZJQE,0
Sports can help pass the time. ,0,[],0,0,1,0.0,A33UZLF8WW0DV1,0
Tiger Woods will not be playing golf due to his automobile accident.,0,[],0,0,1,0.0,A39GP79ULCP9J2,0
Sports is entertaining.,0,[],0,0,1,0.0,A2X5BYJKVKSYQQ,0
Sometimes sports games can seem little long.,0,[],0,0,1,0.0,A12S5JDG2D5HEW,0
I kick the soccer ball to Sam.,0,[],0,0,1,0.0,A1FAQI8VXLAMBM,0
The baseball game was playing on the TV.,0,[],0,0,1,0.0,A3P1QF00PF2DF9,0
The quarterback is being tackled before the throw.,1,['is being tackled'],1,1,1,1.0,A16ZLWV0QUJP65,1
The first-ranked tennis player won Wimbledon.,0,[],0,0,1,0.0,AOJD8D9NXVAR3,0
Sports channel was great last weekend,0,[],0,0,1,0.0,A1ZLWV0QUJP65,0
Candace is the fastest runner in her class. ,0,[],0,0,1,0.0,AAL5LUI5U3NAV,0
He plays on many sports teams. ,0,[],0,0,1,0.0,A1TK1M16KJJKEO,0
I played lot of sports,0,[],0,0,1,0.0,A79XOBCSS4NTG,0
Many people enjoy sports.,0,[],0,0,1,0.0,A2O3IWIVOZD4S7,0
Sports are extremely fun to play when one is competitive.,0,[],0,0,1,0.0,A2SVKAI2PNTS79,0
Sports are popular with kids.,0,[],0,0,1,0.0,A2O3IWIVOZD4S7,0
The sports hero was known for his homerun streak.,1,['was known'],1,1,1,1.0,A2VNR6984SDFGQ,1
He was one of the best players on the court. ,0,[],0,0,1,0.0,A3CLBF224TRYC9,0
The children played various sports on the playground.,0,[],0,0,1,0.0,A8TLS2F8LFQ68,0
Sports are keeping you healthy.,0,[],0,0,1,0.0,AIJPLVW0ULYTH,0
i not truly fan of football.,0,[],0,0,1,0.0,A3CX0LXFHZ6I3I,0
I playing sports more and more lately.,0,[],0,0,1,0.0,A2LEBJWW395FST,0
The football glided across the field.,0,[],0,0,1,0.0,AFTSLCMJASJDR,0
Sports are important to him.,0,[],0,0,1,0.0,AA0EJ752F121Q,0
The cyclist pedaled quickly away from his challengers.,0,[],0,0,1,0.0,A2VN0R4EGGV7KE,0
I played volleyball yesterday.,0,[],0,0,1,0.0,AJKA9BKC011F2,0
All sports has been cancelled due to the pandemic. ,1,['has been cancelled'],1,1,1,1.0,A2X823PACMMOKP,1
The sports station will be cleaned by me.,1,['will be cleaned'],1,1,1,1.0,ALG1XBLARJ545,1
My team was the recipient of the trophy.,0,[],0,0,1,0.0,A2SKOPFTRTNFUY,0
Swimming was one of my hobbies.,0,[],0,0,1,0.0,A347NXF6NQGM5G,0
Sports can be exciting,0,[],0,0,1,0.0,AFRKVRPZ2RHY8,0
I am watching Sports and eating nachos.,0,[],0,0,1,0.0,A2OZKKX2O0YTLD,0
He collided with the opposing player ,0,[],0,0,1,0.0,A240OTT1T85UGT,0
He used to play sports before the car crash.,0,[],0,0,1,0.0,A55E4CZQLYYO3,0
I play basketball.,0,[],0,0,1,0.0,A3QNSOORS63W0D,0
Sports remain entertaining.,0,[],0,0,1,0.0,A63XZD0XGIMAI,0
The baseball game was tiring.,0,[],0,0,1,0.0,A2ONKY3JGB34T3,0
Alex Rodriguez hit home run.,0,[],0,0,1,0.0,AOJD8D9NXVAR3,0
Sports teaches people how to work in teams.,0,[],0,0,1,0.0,A33B85TN97HQ33,0
"If the team has weak offensive line, their quarterback will more likely be sacked.",1,['be sacked'],1,1,1,1.0,A3J72C0SIACZBS,1
The opposing team was prevented from scoring.,1,['was prevented'],1,1,1,1.0,AW3PWVBIGPNAA,1
We play sports.,0,[],0,0,1,0.0,AC95JAUAM2L2Z,0
Soccer is game reserved for dedicated athletes.,0,[],0,0,1,0.0,AFE7E450NETF2,0
im into sports,0,[],0,0,1,0.0,AXR1QGU4KTMSZ,0
The player was sent to the bench.,1,['was sent'],1,1,1,1.0,COPIEDAKHKMEPXX1YZ9,1
Kids need sports for their physical development,0,[],0,0,1,0.0,AOZBPO12UMPUY,0
watching sports is fun.,0,[],0,0,1,0.0,A1JSPB0XCFUUG1,0
The ball was thrown.,1,['was thrown'],1,1,1,1.0,A2VAG94W4SK18C,1
Cheerleading was one of my favorite sports when I was in high school. ,0,[],0,0,1,0.0,A2GIT09BQEUM9M,0
Sports are played. ,1,['are played'],1,1,1,1.0,A162CO8K267FU8,1
I hit the ball in baseball.,0,[],0,0,1,0.0,A3S9ASZKIIJ3WF,0
Sports bring fun to the masses.,0,[],0,0,1,0.0,A3JUAN2Y9XTK5L,0
Kansas City should have won the game.,0,[],0,0,1,0.0,A23FK9ROU01U4D,0
The sports team is good,0,[],0,0,1,0.0,A79XOBCSS4NTG,0
