document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,ID,Test,Cond,human_coding
My dad went to vote while I stayed in the car.,1,[],0,0,0.0,0,A1N274L13ZKKI5,1.0,2,0
Politics play major role in the formation of opinions.,1,[],0,0,0.0,0,A3NG205QJ48IM4,1.0,1,0
I did vote in the last election.,1,[],0,0,0.0,0,A2I6YPPQK6BU09,1.0,1,0
If I bring up politics at dinner I ll surely start fight.,1,[],0,0,0.0,0,A1H4MYPDJ2K3VI,2.0,1,0
Joe Biden was elected as the next president. ,1,['was elected'],1,1,1.0,1,A15B294KHVGPFV,1.0,2,1
I really hate Republican s,1,[],0,0,0.0,0,A3774HPOUKYTX7,1.0,1,0
Politics can be stressful topic.,1,[],0,0,0.0,0,ARTARDCXLJ5H6,2.0,2,0
The taxes are low for education.,1,[],0,0,0.0,0,A2RCUR9HJ9D0UQ,1.0,2,0
I spoke with my friend about the political race.,1,[],0,0,0.0,0,AO9AKYPPGGGZ4,2.0,1,0
I am so tired of politics,1,[],0,0,0.0,0,ADIW4L4IGU98R,1.0,1,0
Jane plays games in politics by running for office under an independent party name.,1,[],0,0,0.0,0,A34IZFOSHOZ4GN,1.0,1,0
I voted in the last election. ,1,[],0,0,0.0,0,A11ILN5YSUDVG8,1.0,1,0
A rally was held for Biden by the Democratic party before the election. ,1,['was held'],1,1,1.0,1,A13CFYL1AW272Y,1.0,2,1
The state health department was affected negatively by the Governor vote to cut funding.,1,['was affected'],1,1,1.0,1,AAFM5PPF9P0W,1.0,2,1
Bill Clinton slept with his intern Monika Lewinsky. ,1,[],0,0,0.0,0,A20P819KPQWCK0,1.0,1,0
Politics tends to go into one ear and out of the other.,1,[],0,0,0.0,0,A2OKJSKQFMCZTP,1.0,2,0
The new mayor seems to not know anything about politics.,1,[],0,0,0.0,0,AM0FRMVODTMXA,1.0,1,0
I enjoy watching politics on tv. ,1,[],0,0,0.0,0,A2WSYQ5TS09U1,1.0,1,0
Marisha votes for the Democratic Party. ,1,[],0,0,0.0,0,A1FAQI8VXLAMBM,2.0,1,0
Politics are always on the television.,1,[],0,0,0.0,0,A3C9B757QTE20C,2.0,1,0
Politics can be complicated,1,[],0,0,0.0,0,AK70USZXEJSF3,2.0,2,0
I very active in politics.,1,[],0,0,0.0,0,A3BWZ6V34W8SXX,2.0,1,0
People often talk about how political discourse was more civil in the past. ,1,[],0,0,0.0,0,A3U6RDG7BLH6YZ,2.0,1,0
Some politicians are not to be trusted.,1,['be trusted'],1,1,1.0,1,A2HUWXLMG214BI,2.0,2,1
The mayor was satisfied with the voters opinion.,1,[],0,0,0.0,0,A16DIQCMNWPBAN,2.0,2,0
It is nice to see president that has morals ,1,[],0,0,0.0,0,A357ADRGNGMMKC,1.0,1,0
How much do you enjoy reading about politics ,1,[],0,0,0.0,0,A3V2HVY764HJS4,2.0,1,0
Politics is the biggest debate in America ,1,[],0,0,0.0,0,A2W5PAZJG6X8Q8,2.0,2,0
In politics senators make huge salaries.,1,[],0,0,0.0,0,A118RTS8BOFIH7,1.0,1,0
The election was lost by the Republican.,1,['was lost'],1,1,1.0,1,A31CNXHGR49DJR,1.0,2,1
Politics can cumbersome,1,[],0,0,0.0,0,A3OM2ZQ7FUDTIN,1.0,1,0
Politics have ruined this country.,1,[],0,0,0.0,0,A3PSV85ZUXP9VF,2.0,2,0
Last year i voted for man with orange hair,1,[],0,0,0.0,0,A3G11HOZ5PCWOH,2.0,2,0
Politics is an exciting game to watch. ,1,[],0,0,0.0,0,A33ELVLU0NX9N9,1.0,1,0
The President sits at his desk.,1,[],0,0,0.0,0,A2W434UNNBRS4L,1.0,2,0
I think what is happening in the world is wrong,1,[],0,0,0.0,0,A2EW08X2I87RXL,2.0,1,0
Misleading statements were made during the debate.,1,['were made'],1,1,1.0,1,AHTWQSOY6HTJI,1.0,2,1
I hated that politics class.,1,[],0,0,0.0,0,A16Y5JEB1EF9CY,1.0,2,0
I think politics are overrated.,1,[],0,0,0.0,0,A3M0L33TPD346S,2.0,2,0
The president enacted some controversial policies.,1,[],0,0,0.0,0,AY4KZOUEZ8BAM,1.0,1,0
Politics pays havoc with people mind.,1,[],0,0,0.0,0,A14Z1JSAR9JEON,1.0,2,0
Politics is very important issue in our country.,1,[],0,0,0.0,0,A3M2Q7EZCJ85GE,2.0,2,0
I think I know lot about politics.,1,[],0,0,0.0,0,A36W1PIV68AE5K,2.0,2,0
I will change people opinion about racial rights.,1,[],0,0,0.0,0,ANR81FZBHHR0F,1.0,1,0
Politics are not often discussed in the workplace.,1,['are not often discussed'],1,1,1.0,1,A2UOOBZQ5L2EL1,2.0,2,1
Politics are currently all anyone talks about at work.,1,[],0,0,0.0,0,j2wj0096lt,2.0,1,0
I love how the polling is going ,1,[],0,0,0.0,0,A3NUGUAMBKYMZY,1.0,1,0
Politics runs the world.,1,[],0,0,0.0,0,A33TBDS0UALKW2,1.0,1,0
The incumbent senator was defeated by the challenger.,1,['was defeated'],1,1,1.0,1,A2BT7QVGXJKFKI,1.0,2,1
"John was just elected mayor of our town, something he has always wanted to be.",1,['was just elected'],1,1,1.0,1,A39J8MSTUDVH0D,1.0,1,1
Politicians should not tweet about politics.,1,[],0,0,0.0,0,A15X9KAJB8M54B,2.0,2,0
politics is the bane of existence.,1,[],0,0,0.0,0,A1CRE2Z623JZ6V,2.0,1,0
The senator approval ratings had sunken since voting for the crime bill.,1,[],0,0,0.0,0,A3H8A6SSZH6MQQ,2.0,2,1
Politics was not topuc of conversation.,1,[],0,0,0.0,0,A2137K4XEU12TI,1.0,2,0
The mayor decides to run for office another year after successful year in politics.,1,[],0,0,0.0,0,AMFIHFK9N0OVK,2.0,1,0
I closely follow politics.,1,[],0,0,0.0,0,A1JAWNX4R60ZZ0,1.0,1,0
I voted for the President.,1,[],0,0,0.0,0,A1MPJYJCUAOFOB,1.0,1,0
I heard many things about politics.,1,[],0,0,0.0,0,A3HT6YYXPBRKN3,2.0,2,0
I believe politicians will not lead our country in the right direction.,1,[],0,0,0.0,0,A3V9UGWBPDRFSG,1.0,1,0
The preident does not like politics when there devicive.,1,[],0,0,0.0,0,A1ZJ3TU4QJIKLY,2.0,2,0
Politics is definitely very sensitive topic in this society.,1,[],0,0,0.0,0,A129LL7SYP8EOE,2.0,1,0
The vote certification was delayed several hours due to an attack on Congress.,1,['was delayed'],1,1,1.0,1,A2VUF0V7HT51Q3,1.0,2,1
In the past I was not very interested in politics.,1,[],0,0,0.0,0,A3IB7YJHP04OHI,2.0,2,0
The president is calling staff meeting.,1,[],0,0,0.0,0,A13DHPKBQXN9R7,2.0,1,0
I do not follow politics.,1,[],0,0,0.0,0,A1B3K5W6NZ03U2,1.0,1,0
The political ad was placed by Cathy.,1,['was placed'],1,1,1.0,1,A29KJK7GPUF3OT,1.0,2,1
The politician scheduled his week-long campaign.,1,[],0,0,0.0,0,A26A77APE2SUR5,2.0,2,0
Politics makes people crazy ,1,[],0,0,0.0,0,A8BSFVAPZBIUS ,1.0,1,0
I am going to be running for office during the next election. ,1,[],0,0,0.0,0,A1ADRYNCJIRFOO,1.0,1,0
The election was won by the oldest candidate.,1,['was won'],1,1,1.0,1,A1PAN54I7HWSZI,1.0,2,1
 Effective campaigning is paramount to winning.,1,[],0,0,0.0,0,AS8JG1LSWTMGY,2.0,2,0
Politics are not for the soft hearted.,1,[],0,0,0.0,0,A25D8WXH1F4CG9,1.0,1,0
People in politics lie all the time.,1,[],0,0,0.0,0,A1TK1M16KJJKEO,1.0,2,0
George studied politics in college for his major.,1,[],0,0,0.0,0,A1282WX3YWXM6E,2.0,1,0
I VOTED IN THE LAST ELECTION,1,[],0,0,0.0,0,A3SUUPLFBSG1T9,1.0,1,0
Politics was used by student body.,1,['was used'],1,1,1.0,1,A2T6EBB0Z6TQZS  ,1.0,2,1
The nation is now calm after our new president has arrived.,1,[],0,0,0.0,0,A3G1X3IP2VM4IK,2.0,2,0
The Senator was begging for votes.,1,[],0,0,0.0,0,A1KRDCZ1YYBUIZ,1.0,1,0
We were in line with many Trump supporters. ,1,[],0,0,0.0,0,A1X84CLJ7N1PLZ,1.0,2,0
Politics can be disappointing subject.,1,[],0,0,0.0,0,A141B3S3ZLY8DI,2.0,2,0
The politics of it were getting messy.,1,[],0,0,0.0,0,A1BDJMFP24FBGL,1.0,1,0
the news told me about politics,1,[],0,0,0.0,0,A3F34OE3VQ7W0V,1.0,2,0
The Demomcrats conceded to the Republicans objections.,1,[],0,0,0.0,0,A2BQ5JORLYGZMV,2.0,2,0
The politicians are voting ,1,[],0,0,0.0,0,A3ONF400XL2Y9U,1.0,1,0
Politics have become too much to handle. ,1,[],0,0,0.0,0,A2HDZE2L9EX2SY,1.0,1,0
Trump was defeated,1,['was defeated'],1,1,1.0,1,A2EY0J9LOPU3TU,1.0,2,1
American politics have become highly polarized.,1,[],0,0,0.0,0,A20SXG1DHDIDI7,1.0,1,0
My political voice was suppressed by public opinion ,1,['was suppressed'],1,1,1.0,1,A2Y81T0DIFJ866,1.0,2,1
Politics can be very complex to discuss ,1,[],0,0,0.0,0,A2MF4QDKE40KVN,1.0,1,0
who do you want to vote,1,[],0,0,0.0,0,A7Z6P6K85HX54,1.0,2,0
Politics are divisive topic.,1,[],0,0,0.0,0,A2PY9UB56M2PP2,1.0,1,0
Politics was once where Americans worked together to solve problems.,1,[],0,0,0.0,0,A2JUTTLDE5LGHH,1.0,2,0
I sometimes follow politics,1,[],0,0,0.0,0,A2F58OOW7K3DD2,1.0,1,0
Politics are all that he had to go on.,1,[],0,0,0.0,0,A1QW2XUJ7KZCV5,2.0,2,0
Some people just don understand. ,1,[],0,0,0.0,0,A3G3TIX6FEMN8R,2.0,2,0
The dog is barking at the mailman.,1,[],0,0,0.0,0,A2DDPSXH2X96RF,1.0,1,0
Politics are terrible right now,1,[],0,0,0.0,0,A2BZY06YRWGEDL,2.0,1,0
Poor decisions led to the loss by the candidate. ,1,[],0,0,0.0,0,A1C8FN01981A69,2.0,2,0
When will the next Congressmen run for office ,1,[],0,0,0.0,0,A2DU76P3SED4T6,2.0,1,0
I want to be more involed in Politics,1,[],0,0,0.0,0,AYSX5GNO640MZ,1.0,1,0
I voted at my local voting precinct.,1,[],0,0,0.0,0,A2R30HQXQN76IC,1.0,1,0
"The political process may move slowly, but eventually there are results.",1,[],0,0,0.0,0,AMDUEMZUK9GJC,1.0,1,0
The candidate is shown to have lied several times.,1,['is shown'],1,1,1.0,1,A2WS07SCLNP1GV,1.0,2,1
"If politics were not allowed in the news, there would be no news. ",1,['were not allowed'],1,1,1.0,1,A3V3LIPOU53GZQ,2.0,2,1
The Democrats won the election this year.,1,[],0,0,0.0,0,AQDA6OMC4W5V8,1.0,2,0
President Biden wins the election.,1,[],0,0,0.0,0,A1K3VCFF62LIO2,2.0,1,0
Many citizens passionately debate politics.,1,[],0,0,0.0,0,A2AFAWJX5LTUVN,2.0,1,0
When is Biden going to make speech in Atlanta ,1,[],0,0,0.0,0,AW8JVJQNLTXND,2.0,1,0
The candidate is likely to win.,1,[],0,0,0.0,0,A26ZENZ5G8AEGM,1.0,1,0
People are made fools due to some political leaders.,1,['are made'],1,1,1.0,1,A3Q9H7A8J8GR01,1.0,2,1
The president was satisfied with the bill so he signed it. ,1,[],0,0,0.0,0,A2SULQE4M8C3CM,2.0,2,0
Politics changes the ways people understand each other.,1,[],0,0,0.0,0,A2LDDDJ4WBKB8Y,1.0,1,0
Politics can be tricky on either the democratic or the republican side.,1,[],0,0,0.0,0,A2VJ27EN5W4MU,1.0,2,0
They are following politics.,1,[],0,0,0.0,0,A1SBWRAOJBEFIM,1.0,1,0
THE POLITICS THIS DAYS ARE SO COMPLICATED.,1,[],0,0,0.0,0,A12JQZP4XVOABB,2.0,2,0
he hates politics,1,[],0,0,0.0,0,AE5138F868GYB,1.0,1,0
Politics can sometimes help person reason.,1,[],0,0,0.0,0,AY2L2CZ6OKNEA,2.0,1,0
The disease was released by the President.,1,['was released'],1,1,1.0,1,A2S7LNJG767XIU,1.0,2,1
Donald Trump frequently engages in politics with other political figures.,1,[],0,0,0.0,0,A370S3V5OUNP4E,1.0,1,0
He is going to run in the next election.,1,[],0,0,0.0,0,A2ZKKOPPN3AX2G,1.0,2,0
The politics of it are confusing.,1,[],0,0,0.0,0,AH7I3K3OJKA5L,2.0,1,0
Republicans and Democrats are opposed to one another.,1,[],0,0,0.0,0,A5BCSSPC180AG,2.0,2,0
Politics in the country suck ,1,[],0,0,0.0,0,A1TO9C7AZND1VO,1.0,1,0
That what became of the voters.,1,[],0,0,0.0,0,AE0C5U5HZ7WR9,2.0,2,0
I am moderate when it comes to politics.,1,[],0,0,0.0,0,A1D4RC6K6Y5KAV,2.0,1,0
I identify as Republican.,1,[],0,0,0.0,0,A345TDMHP3DQ3G,1.0,1,0
The position was removed from office,1,['was removed'],1,1,1.0,1,A1U5UPSCURNRAA,2.0,2,1
Politics is very relevant topic in the world today.,1,[],0,0,0.0,0,A18UTX5FD7NPRV,2.0,1,0
Voters were discouraged to gather at the polls.,1,['were discouraged'],1,1,1.0,1,A3T79IEUFBB473,2.0,2,1
The brothers argued over who they would vote for in the election.,1,[],0,0,0.0,0,A3HKD5JYXYBK5Q,1.0,1,0
I am over the politics.,1,[],0,0,0.0,0,A3MSMV01T3S53S,2.0,1,0
The election was very unfair.,1,[],0,0,0.0,0,A2JAE9P7FQXU2T,2.0,2,0
Politics makes me so upset ,1,[],0,0,0.0,0,A23K77HMD9APAJ,1.0,1,0
I avoid speaking about Politics while at work. ,1,[],0,0,0.0,0,A322UHGPRL2UWO,2.0,1,0
My political views were not recognized.,1,['were not recognized'],1,1,1.0,1,A1EDKVYT9ZCGUH,2.0,2,1
I will run for political office one day.,1,[],0,0,0.0,0,A3CX8S6Q0QEW8E,1.0,1,0
My mom was already aware of the current politics.,1,[],0,0,0.0,0,AYX9OCFWBM939,2.0,2,0
They battled about immigration in the debate last night.,1,[],0,0,0.0,0,A1HNB2243A2PQH,2.0,2,0
Her use of politics had been tricky to understanding in the meeting.,1,[],0,0,0.0,0,A1Y38T7IZWJQAE,2.0,2,0
The sports being gambled on were very fast paced.,1,['being gambled'],1,1,1.0,1,A3ATU3VULAB7K2,2.0,2,1
Sports is an entertaining activity.,1,[],0,0,0.0,0,A1CTJ8UT7SF317,1.0,1,0
I do not enjoy sports.,1,[],0,0,0.0,0,A327Q0Y175MEH7,1.0,1,0
The basketball team was driven home in bus.,1,['was driven'],1,1,1.0,1,A19TD2J8506A4Y,1.0,2,1
I play basketball on the weekends.,1,[],0,0,0.0,0,A2DDXYTEVDV5F5,1.0,1,0
I wish the Lakers would win.,1,[],0,0,0.0,0,AJ9O2ZA0E8UDZ,2.0,2,0
Our pitcher throws 150km h.,1,[],0,0,0.0,0,AYXXMHLZRAPF9,1.0,1,0
I feel that sports are gateway to high fitness.,1,[],0,0,0.0,0,A3M0L33TPD346S,1.0,1,0
Sports were enjoyed by the fans.,1,['were enjoyed'],1,1,1.0,1,A33GB614ST7J82,1.0,2,1
The football player scored touchdown.,1,[],0,0,0.0,0, COPIEDAKHKMEPXX1YZ9,2.0,1,0
The quarterback caught the ball.,1,[],0,0,0.0,0,A23273YME4RCEB,1.0,1,0
Sports was the activity she enjoyed the most.,1,[],0,0,0.0,0,A3O4WYGKH31OX,1.0,2,0
Football is the sport I played in high school.,1,[],0,0,0.0,0,A3NLSGHK6RFXA8,1.0,2,0
Bob watched sports all day on TV.,1,[],0,0,0.0,0,AOJF7CPZVK5U3,1.0,1,0
Soccer was played by millions last year.,1,['was played'],1,1,1.0,1,A154ZJKRSX6847,1.0,2,1
Sports are watched for entertainment purposes by the masses.,1,['are watched'],1,1,1.0,1,A3FXVNZ5VG98IP,1.0,2,1
My niece participates in various sports in school.,1,[],0,0,0.0,0,AYXN53TNFG71P,1.0,1,0
The ball was hit out of bounds.,1,['was hit'],1,1,1.0,1,AMUKX1DM4ASA7,1.0,2,1
The soccer game is alot of fun.,1,[],0,0,0.0,0,AFE7E450NETF2,1.0,1,0
SPORTS DRIVE EVERYONE CRAZY. ,1,[],0,0,0.0,0,A2DLZ9PK82J8L2,1.0,1,0
Sports seem boring to me. ,1,[],0,0,0.0,0,ARON01UO1YK7I,2.0,2,0
Gymnastics is one of the sports I like watching. ,1,[],0,0,0.0,0,A3RNGN5WLE1OBU,1.0,1,1
The player had hit the ball so far.,1,[],0,0,0.0,0,A1ZZETG57T5D5X,2.0,2,0
Sports are entertaining to watch,1,[],0,0,0.0,0,A2Z75NJBZ46RE9,1.0,1,0
All sports were halted during the pandemic.,1,['were halted'],1,1,1.0,1,A1CI5U3BLQ2DDS,1.0,2,1
 The government canceled all sports during the pandemic. ,1,[],0,0,0.0,0,A1CI5U3BLQ2DDS ,1.0,1,0
I love hitting the baseball. ,1,[],0,0,0.0,0,ATSNZCC16HIOI,1.0,1,0
I like watching sports on television ,1,[],0,0,0.0,0,A1SWGSFIMZJQE,2.0,2,0
Sports can help pass the time. ,1,[],0,0,0.0,0,A33UZLF8WW0DV1,2.0,2,0
Tiger Woods will not be playing golf due to his automobile accident.,1,[],0,0,0.0,0,A39GP79ULCP9J2,1.0,1,0
Sports is entertaining.,1,[],0,0,0.0,0,A2X5BYJKVKSYQQ,1.0,1,0
Sometimes sports games can seem little long.,1,[],0,0,0.0,0,A12S5JDG2D5HEW,2.0,2,0
I kick the soccer ball to Sam.,1,[],0,0,0.0,0,A1FAQI8VXLAMBM,2.0,1,0
The baseball game was playing on the TV.,1,[],0,0,0.0,0,A3P1QF00PF2DF9,1.0,2,0
The quarterback is being tackled before the throw.,1,['is being tackled'],1,1,1.0,1,A16ZLWV0QUJP65,2.0,1,1
The first-ranked tennis player won Wimbledon.,1,[],0,0,0.0,0,AOJD8D9NXVAR3,1.0,1,0
Sports channel was great last weekend,1,[],0,0,0.0,0,A1ZLWV0QUJP65,2.0,2,0
Candace is the fastest runner in her class. ,1,[],0,0,0.0,0,AAL5LUI5U3NAV,1.0,1,0
He plays on many sports teams. ,1,[],0,0,0.0,0,A1TK1M16KJJKEO,1.0,2,0
I played lot of sports,1,[],0,0,0.0,0,A79XOBCSS4NTG,1.0,1,0
Many people enjoy sports.,1,[],0,0,0.0,0,A2O3IWIVOZD4S7,1.0,1,0
Sports are extremely fun to play when one is competitive.,1,[],0,0,0.0,0,A2SVKAI2PNTS79,2.0,2,0
Sports are popular with kids.,1,[],0,0,0.0,0,A2O3IWIVOZD4S7,1.0,1,0
The sports hero was known for his homerun streak.,1,['was known'],1,1,1.0,1,A2VNR6984SDFGQ,1.0,2,1
